Event Log

MAC Address,Prim. MAC Address,Channel,Type,Module (from),Module (to),Message,Time stamp
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[c0:bd:d1:7e:1a:7e], frequencySetBy=10}",2019-03-06 02:49
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[34:12:f9:e8:4d:da], frequencySetBy=10}",2019-03-06 01:30
b8:ec:a3:2f:bd:7c,b8:ec:a3:2f:bd:7f,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:7d"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[bc:e1:43:0a:09:04], frequencySetBy=10}",2019-03-06 01:09
04:bf:6d:5e:12:64,04:bf:6d:5e:12:67,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:12:65"" , ""channel"" : 161 , ""bandwidth"" : 80}], deassociateStaList=[58:82:a8:64:a7:f1], frequencySetBy=10}",2019-03-06 00:18












