Epoch(every hour),Managed AP - primary MAC,Band/Frequency,Zone,Pixel,# managed,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI,# unmanaged,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI
1551848400,04:bf:6d:5e:11:93,5,Z_347_283_2,17361_14167_2,15,0,2,4,-77.53,9.34,-88.00,-56.00,47,0,0,14,-80.38,6.50,-88.00,-67.00
1551848400,04:bf:6d:5e:11:93,5785,Z_347_283_2,17361_14167_2,3,0,0,1,-80.00,8.04,-88.00,-69.00,4,0,0,3,-77.00,2.55,-80.00,-74.00
1551848400,04:bf:6d:5e:11:97,2.4,Z_347_283_2,17367_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:97,2437,Z_347_283_2,17367_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:97,5,Z_347_283_2,17367_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:97,5200,Z_347_283_2,17367_14163_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:1b,2.4,Z_347_283_2,17379_14174_2,10,0,2,6,-69.52,7.17,-81.47,-61.00,24,0,1,17,-74.91,7.33,-94.99,-60.23
1551848400,b8:ec:a3:2f:bd:1b,2412,Z_347_283_2,17379_14174_2,3,0,2,1,-61.67,0.94,-63.00,-61.00,11,0,0,6,-78.18,7.62,-94.99,-65.00
1551848400,b8:ec:a3:2f:bd:1b,5,Z_347_283_2,17379_14174_2,20,0,1,12,-76.00,7.74,-86.00,-54.00,59,0,0,15,-82.40,5.03,-89.00,-67.99
1551848400,b8:ec:a3:2f:bd:1b,5805,Z_347_283_2,17379_14174_2,1,0,0,0,-80.00,0.00,-80.00,-80.00,3,0,0,1,-84.00,4.97,-88.00,-77.00
1551848400,b8:ec:a3:2f:bd:1f,2.4,Z_347_283_2,17379_14169_2,14,0,1,8,-73.97,8.93,-91.00,-55.70,7,0,1,4,-72.71,10.17,-92.00,-58.71
1551848400,b8:ec:a3:2f:bd:1f,2437,Z_347_283_2,17379_14169_2,3,0,0,1,-82.33,6.60,-91.00,-75.00,3,0,0,2,-76.67,10.96,-92.00,-67.00
1551848400,b8:ec:a3:2f:bd:1f,5,Z_347_283_2,17379_14169_2,33,1,1,12,-78.09,11.50,-88.00,-26.99,29,0,0,17,-79.51,5.95,-88.00,-67.00
1551848400,b8:ec:a3:2f:bd:1f,5765,Z_347_283_2,17379_14169_2,8,0,0,2,-83.50,3.57,-88.00,-78.00,3,0,0,1,-79.00,8.52,-86.00,-67.00
1551848400,b8:ec:a3:2f:bd:67,2.4,Z_347_283_2,17371_14172_2,7,1,0,6,-67.13,9.59,-79.00,-48.78,11,0,0,2,-80.72,5.61,-86.00,-65.00
1551848400,b8:ec:a3:2f:bd:67,2412,Z_347_283_2,17371_14172_2,3,0,0,3,-72.00,5.72,-79.00,-64.99,5,0,0,2,-77.40,6.86,-83.00,-65.00
